price,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_bedrooms,fl_open_fire,fl_terrace,fl_garden,garden_sqm,fl_swimming_pool,subproperty_type_encoded,region_encoded,epc_encoded,state_encoded,province_encoded
225000.0,2050.0,1963.0,100.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,4,1,2
449000.0,9185.0,2001.0,166.0,680.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,4,1,1
335000.0,1070.0,1975.0,142.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,2,5,0,5
501000.0,2275.0,2024.0,187.0,505.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2
548514.0,1700.0,1967.0,187.0,710.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,0,6
325000.0,1420.0,2022.0,80.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,2,0,9
424000.0,9800.0,2023.0,155.0,291.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,1
185000.0,4000.0,2022.0,92.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,4,0,4
385000.0,9190.0,1970.0,309.0,309.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,1
957000.0,8670.0,2017.0,133.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1,0,2,1,0
294000.0,4700.0,2023.0,106.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1,1,3,0,4
347000.0,2820.0,2011.0,102.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,3,1,2
110000.0,6010.0,1918.0,150.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,1,8,2,3
258000.0,4620.0,2022.0,83.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,2,0,4
270000.0,2100.0,1973.0,115.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,4,5,2
450000.0,1070.0,1935.0,150.0,136.0,3.0,0.0,1.0,1.0,35.0,0.0,0,2,7,0,5
272000.0,1500.0,2017.5,84.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,0,6
